City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amaravati,11/13/2018,77.38,173.47,22.55,75.54,58.58,4.88,1.15,30.69,35.94,0.09,0.29,0.16,182
Amaravati,11/14/2018,71.23,160.66,15.11,89.44,59.86,3.45,1.48,38.91,32.4,0.12,0.56,0.2,144
Amaravati,11/15/2018,38.29,93.11,6.56,64.69,40.04,7.46,1.32,24.47,43.96,0.08,0.09,,
Amaravati,11/16/2018,15.69,43.67,15.32,46.68,37.45,8.41,0.73,10.63,18.09,0.01,0.06,0.1,
Amaravati,11/17/2018,16.21,48,13.93,43.42,34.5,8.82,0.87,7.51,17.51,0.01,0.07,,64
Amaravati,11/18/2018,19.48,46.57,14.56,35.92,30.95,10.76,0.84,7.49,15.47,0.01,0.07,0.1,56
Amaravati,11/19/2018,26.8,66.67,5.44,38.81,25.15,9.87,1.03,9.65,22.63,0,0.04,,80
Amaravati,11/20/2018,48.35,100.01,3.87,38.27,23.58,10.18,1.07,12.15,35.86,0,0.04,,88
Amaravati,11/21/2018,50.02,100.82,3.59,47.93,28.6,7.09,0.89,16.66,43.61,0.02,0.08,,102
Amaravati,11/22/2018,59.2,112.7,5.92,60.41,37.34,6.46,0.86,31.55,39.89,0.05,0.16,,
Amaravati,11/23/2018,56,112.5,11.95,87.35,58.15,4.5,1.43,13.65,59.8,0.1,0.1,,
Amaravati,11/24/2018,51.25,107.69,2.74,82.32,46.02,2.1,1.08,20.63,57.6,0.04,0.01,,
Amaravati,11/25/2018,78.19,183,5.87,78.98,46.8,3.41,1.32,19.96,50.12,0.05,0.08,0.1,
Amaravati,11/26/2018,85.11,183.15,9.11,97.16,59.17,3.61,1.28,17.17,37.99,0.1,0.23,0.11,189
Amaravati,11/27/2018,93.95,190.73,19.47,105.22,71.79,3.81,1.81,20.78,39.9,0.11,0.3,0.15,190
Amaravati,11/28/2018,80.96,152.44,4.73,89.01,51.18,2.95,1.51,15.71,41.41,0.12,0.26,0.11,215
Amaravati,11/29/2018,52.64,97.29,3.64,66.83,38.5,2.12,1.84,19.81,49.85,0.09,0.04,,
Amaravati,11/30/2018,60.52,154.02,6.73,81.64,48.91,6,0.9,39.76,33.93,0.05,0.17,0.13,
Amaravati,12/1/2018,77.86,159.49,10.69,90.28,56.71,4.66,1.16,14.21,22.45,0.1,0.5,0.13,145
Amaravati,12/2/2018,70.89,125.4,3.58,68.12,39.14,1.79,1.17,13.87,29.82,0.07,0.44,0.12,160
Amaravati,12/3/2018,74.34,129.57,4.54,69.78,40.81,3.38,1.09,14.03,33.95,0.09,0.12,0.1,130
Amaravati,12/4/2018,97.09,143.69,4.09,86.95,49.58,1.52,1.11,13.62,33.03,0.1,0.12,0.12,176
Amaravati,12/5/2018,89.63,137.58,4.32,76.89,44.42,10.9,1.6,14.31,32.5,0.1,0.21,,245
Amaravati,12/6/2018,86.92,139.02,4.57,85.21,49.04,8.52,1.11,13.06,35.15,0.09,0.08,,
Amaravati,12/7/2018,100.1,155.25,4.45,92.4,52.76,6.31,0.76,10.86,27.99,0.1,0.11,,209
Amaravati,12/8/2018,110.12,172.67,5.15,92.9,53.61,8.66,1.37,11.12,33.26,0.1,0.05,,256
Amaravati,12/9/2018,111.21,170.04,4.42,76.7,44.4,10.99,1.47,10.17,31.17,0.06,0.06,0.1,266
Amaravati,12/10/2018,107.24,162.72,5.85,72.27,43.16,13.91,1.14,9.58,28.5,0.09,0.04,0.1,276
Amaravati,12/11/2018,89.07,160.83,5.59,72.19,42.93,17.31,1.23,11.7,29.51,0.07,0.05,0.1,218
Amaravati,12/12/2018,93.1,163.9,5.46,77.58,45.71,16.59,0.97,13.75,33.59,0.1,0.11,,206
Amaravati,12/13/2018,76.94,160.28,6.68,79.86,47.92,15.05,0.97,18.13,29.35,0.1,0.16,0.14,
Amaravati,12/14/2018,90.61,164.19,5.37,74.89,44.2,16.85,1.07,17.68,31.59,0.11,0.3,0.15,180
Amaravati,12/15/2018,96.57,174.31,3.33,57.77,33.44,18.28,1.1,23.81,39.75,0.11,0.11,0.1,217
Amaravati,12/16/2018,78.15,137.52,3.6,50.62,29.86,20.78,0.96,23.87,26.46,0.07,0.15,,211
Amaravati,12/17/2018,19.26,22.54,2,30.38,17.79,21.15,0.7,10.94,18.91,0,0,,90
Amaravati,12/18/2018,10.89,19.98,2.2,28.6,17.01,22.45,0.45,12.41,17.5,0,0,,49
Amaravati,12/19/2018,16.38,33.04,4.77,39.69,24.99,23.12,0.67,44.59,19.12,0,0.01,,46
Amaravati,12/20/2018,30.48,69.23,9.24,67.05,43.17,20.44,1.28,57.72,22.1,0.03,0.07,0.1,
Amaravati,12/21/2018,48.88,84.99,6.61,63.12,38.95,19.24,0.94,29.45,23.97,0.06,0.16,0.11,81
Amaravati,12/22/2018,55.24,81.9,3.65,55.65,32.57,17.93,1.17,13.62,27.34,0.07,0.15,0.1,89
Amaravati,12/23/2018,83.4,121.25,2.86,46.47,27.04,20.01,1,12.32,32.68,0.08,0.21,0.1,136
Amaravati,12/24/2018,93.78,142.65,5.55,67.51,40.43,19.51,1.34,42.75,29.16,0.1,0.21,0.1,199
Amaravati,12/25/2018,92.72,135.61,13.43,77.45,52.11,19.49,1.16,20.19,24.79,0.1,0.22,0.11,221
Amaravati,12/26/2018,76.48,114.53,12.45,69.63,47.16,18.65,1.08,13.32,24.73,0.05,0.05,,178
Amaravati,12/27/2018,50.45,87.25,5.44,51.24,31.68,21.42,0.89,10.45,27.83,0,0.01,,
Amaravati,12/28/2018,73.19,127.1,13.43,69.17,47.7,21.66,0.92,25.43,22.5,0.07,0.22,0.1,119
Amaravati,12/29/2018,82.53,145.06,5.44,67.17,40.16,21.34,1.01,28.57,24.03,0.09,0.19,0.13,153
Amaravati,12/30/2018,95.18,154.73,4.57,76.4,44.35,15.29,1.34,33.25,30.68,0.1,0.36,0.15,202
Amaravati,12/31/2018,79.29,136.71,4.24,74.24,42.93,15.82,1.1,40.52,28.79,0.09,0.23,0.16,191
Amaravati,1/1/2019,83.17,140.9,6.56,83.38,49.69,15.16,1.09,30.85,24.84,0.1,0.21,0.11,183
Amaravati,1/2/2019,109.97,189.28,13.93,124.57,77.59,10.65,1.38,48.92,30.25,0.11,0.25,0.13,210
Amaravati,1/3/2019,139.38,230.27,35.59,140.17,103.49,8.7,1.24,42.26,20.87,0.13,0.58,0.13,304
Amaravati,1/4/2019,126.47,187.83,9.48,106.1,64.14,9.27,1.43,15.29,26.24,0.12,0.25,0.1,312
Amaravati,1/5/2019,127.94,196.3,6.73,92.41,54.63,11.1,1.33,15.9,28.51,0.11,0.31,0.1,304
Amaravati,1/6/2019,126.66,184.73,9.63,94.51,58.1,13.66,1.45,11.75,26.07,0.12,0.22,0.1,306
Amaravati,1/7/2019,121.47,215.5,17.24,103.31,68.98,13.63,1.5,16.53,24.55,0.12,0.31,0.1,302
Amaravati,1/8/2019,118.17,219.63,36.87,121.38,94.54,11.21,1.25,39.68,21.18,0.1,0.25,0.13,298
Amaravati,1/9/2019,97.45,225.75,12.68,121.94,75.16,10.39,0.86,66.39,27.23,0.09,0.16,0.18,274
Amaravati,1/10/2019,115.23,198.47,14.96,113.39,72.47,7.38,0.78,9.43,20.07,0.11,0.23,0.13,270
